,Questions,Correct,A,B,C,D
1492,"What Roman Emperor is said to have taken Alexander the Greats armor from his tomb in Alexandria, Egypt?
",Caligula,Augustus,Caligula,Julius Caesar,Nero
1493,"Which of Alexander the Greats generals became ruler of Egypt after Alexanders death and took the title of pharaoh?
",Ptolemy,Hephaestion,Lysimachus,Cassander,Ptolemy
1494,"Alexander the Greats friendship with this Macedonian nobleman and general was compared to that of Achilles and Patroclus.
",Hephaestion,Hephaestion,Ptolemy,Laomedon,Erigyius
1495,"What statement is true about the Wars of the Diadochi following Alexander the Greats death?
",The term refers to the conflicts among Alexanders successors.,The term refers to the Battle of the Hydaspes River and the Battle of Gaugamela in which Alexanders army was led by his generals.,The term refers to the conflicts between the Ptolemaic Kingdom and the Roman Empire.,The term refers to the conflicts among Alexanders successors.,The term refers to the wars between the Greek city-states and the Roman Empire.
1496,"What trio of actors starred as Alexander the Great, King Philip II of Macedon and Queen Olympias in Oliver Stones 2004 movie Alexander?
","Colin Farrell, Val Kilmer, Angelina Jolie","Brad Pitt, Christopher Plummer, Angelina Jolie","Colin Farrell, Peter OToole, Catherine Zeta Jones","Colin Farrell, Val Kilmer, Angelina Jolie","Colin Farrell, Anthony Hopkins, Angelina Jolie"
1497,"In what month was the 26th President of the United States Theodore Roosevelt born?
",October,October,April,January,June
1498,"Theodore Roosevelt was very athletic and engaged in sports as a child.
",False,True,False,,
1499,"The 26th President of the United States, Theodore Roosevelt was very interested in mathematics during his childhood.
",False,True,False,,
1500,"What university/college did Theodore Roosevelt attend?
",Harvard,Stanford,Harvard,Notre Dame,Princeton
1501,"What was Theodore Roosevelts position during the Spanish-American war?
",A rough rider,A cavalry man,A rough rider,A rifle man,He did not participate in the Spanish-American.
1502,"After Theodore Rooseveltâ€™s first wife died, he married a childhood sweetheart.
",True,True,False,,
1503,"What was the name of Theodore Roosevelts second wife?
",Edith,Susie,Samantha,Alice,Edith
1504,"Which of these is the correct period of Theodore Roosevelts presidency?
",1901-1909,1901-1909,1905-1909,1910-1918,1896-1900
1505,"Theodore Roosevelt was the first president to have a car, be submerged in a submarine, and own a telephone.
",True,True,False,,
1506,"After his first wifeâ€™s death, Theodore Roosevelt went through another personal tragedy â€“ his favorite son committed suicide. Where did this happen?
",Alaska,Alaska,Texas,Hawaii,Maryland
1507,"All of the following share the same birth date of June 21st, but were they all born in the 60-year period between 1925 and 1985?
","ince William, Meredith Baxter Birney, Maureen Stapleton, Carl Stokes, Mariette Hartley and Jane Russell.",No,Yes,No,
1508,"This diverse trio of Geminis were born on May 24th. One is a prominent folk singer (1941), the other one is a soulful songstress dubbed The Empress of Soul (1944) and the third one is the daughter of a country/rock and roll music legend (1955).
","Bob Dylan, Patti LaBelle, Roseanne Cash","Bob Dylan, Patti LaBelle, Roseanne Cash","Woody Guthrie, Patti LaBelle, Roseanne Cash","Muddy Waters, Aretha Franklin, Roseanne Cash","Bob Dylan, Mary J Blige, Carlene Cash"
1509,"Prince, Tom Jones and Liam Neeson were all born on June 7th but in different years.
",True,False,True,,
1510,"With which two figures from Greek/Roman mythology is Gemini associated?
",Castor and Pollux,Aphrodite and Zeus,Castor and Pollux,Hades and Athena,Poseidon and Hera
1511,"Who was the 4th president of the USA?
",James Madison,John Adams,James Monroe,Andrew Jackson,James Madison
1512,"Where was George Washington, Americas first president, born?
",Virginia,Kentucky,Virginia,New York,Mississippi
1513,"Abraham Lincoln was shot by John Wilkes Booth.
",True,False,True,,
1514,"When was John F. Kennedy assassinated?
",1963,1961,1964,none of the above,1963
1515,"Richard Nixon was the 35th president of the United States.
",False,False,True,,
1516,"Who was the 40th president of the USA?
",Ronald Reagan,Gerald Ford,Ronald Reagan,George w.Bush,Jimmy Carter
1517,"Ronald Reagan worked as a radio sports announcer after graduating from college.
",True,True,False,,
1518,"What was Richard Nixons middle name?
",Milhous,David,Milhous,Milton,Howard
1519,"Herbert Hoover directed the American Relief Committee.
",True,True,False,,
1520,"Franklin D. Roosevelt was a New York state senator, before he became president of the United States.
",True,True,False,,
1521,"What was the nickname of Edward Teach, the notorious English pirate who was active in the Caribbean Sea and western Atlantic during the Golden Age of Piracy?
",Blackbeard,Blackbeard,Calico Jack,Black Bart,Barbarossa
1522,"What English pirate captain employed in his crew the only two female pirates of the Golden Age of Piracy â€“ Anne Bonny and Mary Read?
",Calico Jack (Jack Rackham),Black Bart,Henry Morgan,Calico Jack (Jack Rackham),Bartholomew Sharp
1523,"What term is applied to pirate flags which often featured skeletons, daggers, cutlasses, skulls and crossbones?
",Jolly Roger,Jolly Jack,Jolly Rider,Jolly Roger,Horrible Roger
1524,"Who wrote the adventure novel Treasure Island which tells the story of pirates and buried gold?
",Robert Louis Stevenson,Jules Verne,Rafael Sabatini,Emilio Salgari,Robert Louis Stevenson
1525,"Hayreddin Pasha, a Turkish pirate, who dominated the Mediterranean for decades, was nicknamed Barbarossa. What is the meaning of his nickname?
",red beard,red beard,black beard,red nose,red eye
1526,"This sea captain, privateer and politician of the Elizabethan era was second-in-command of the English fleet against the Spanish Armada in 1588. He was respected as a hero by the English, but Spaniards considered him a pirate.
",Francis Drake,Francis Drake,Edward Teach,Horatio Nelson,Henry Morgan
1527,"The city of Port Royal, known for Gallows Point where many pirates were executed, is located on what Caribbean Island?
",Jamaica,Hispaniola,Jamaica,Cuba,Bermuda
1528,"This Barbadian landowner, sometimes called the gentleman pirate, bought a sailing vessel and decided to turn to piracy because of marital problems.
",Stede Bonnet,Calico Jack,Henry Morgan,Stede Bonnet,Edward Teach
1529,"What author created fictional character Peter Blood whose exploits are reportedly based on the piratical exploits of Henry Morgan?
",Rafael Sabatini,Jonathan Swift,Rafael Sabatini,Emilio Salgari,Emilio Salgari
1530,"What English pirate pioneered the route which became known as the Pirate Round?
",Thomas Tew,Bartholomew Roberts,Barbarossa,Thomas Tew,Grace OMalley
1531,"Who wrote the plays Master Olaf, Swan Blood,  Erich XIV?
",Strindberg,Ibsen,Strindberg,Chekhov,none of these
1532,"Inspector General and The Marriage are plays by this author.
",Gogol,Ibsen,Chekhov,Dostoevsky,Gogol
1533,"Who penned the plays The Seagull, Uncle Vanya, Three Sisters and The Cherry Orchard?
",Chekhov,Gogol,Turgenev,Andreyev,Chekhov
1534,"A Rash Thing to Do, Fortunes Fool, An Evening in Sorrento are plays by this dramatist.
",Turgenev,Tiarennti,Gogol,Turgenev,Havel
1535,"Who wrote Tick, Tick,....Boom!, Sacrimoralinority and Superbia?
",Jonathan Larson,J.D. Salinger,Edward Albee,Jonathan Larson,none of these
1536,"Lakeboat, Glengarry Glen Ross, Speed-the Plow, American Buffalo, The Duck Variation are plays by this playwright.
",David Mamet,Jason Miller,Moss Hart,David Mamet,Arthur Miller
1537,"Who is the author of After the Fall, The Crucible, A View From the Bridge and All My Sons?
",Arthur Miller,Jason Miller,David Mamet,J. D. Salinger,Arthur Miller
1538,"Name the playwright who wrote The Second Man, End of Summer, No Time for Comedy.
",S. N. Behrman,S. N. Behrman,Israel Horovitz,Harvey Fierstein,Lillian Hellman
1539,"Torch Song Trilogy, Safe Sex, Spookhouse, The Catered Affair are plays by this author.
",Harvey Fierstein,Lillian Hellman,Israel Horovitz,S.N. Behrman,Harvey Fierstein
1540,"Name the author of The Childrens Hour, The Little Foxes, Watch on Rhine and Toys in the Attic?
",Lillian Hellman,S. N. Behrman,Israel Horovitz,Lillian Hellman,Harvey Fierstein
1541,"Line, The Indian Wants the Bronx and Park Your Car in Harvard Yard were written by this playwright.
",Israel Horvitz,S.N. Behrman,Israel Horvitz,Lillian Hellman,Harvey Fierstein
1542,"Who wrote the plays Widowers Houses, The Devils Disciple, Mrs. Warrens Profession, Back to Methuselah and You Never Can Tell?
",George Bernard Shaw,John Galsworthy,Noel Coward,George Bernard Shaw,Oscar Wilde
1543,"What famous playwright wrote Pygmalion, John Bulls Other Island, The Doctors Dilemma, Man and Superman, Candida?
",George Bernard Shaw,John Galsworthy,Oscar Wilde,George Bernard Shaw,Noel Coward
1544,"Who is the author of Woman and Whisky, The Rat Trap, The Better Half, Blithe Spirit, Ill Leave It to You?
",Noel Coward,Noel Coward,John Webster,Oscar Wilde,George Bernard Shaw
1545,"The Dutchess of Malfi, Northward Ho!, Westward Ho!, and The White Devil are plays by this author.
",John Webster,J. B. Priestly,Harold Pinter,John Galsworthy,John Webster
1546,"Who wrote Time and the Conways, Dangerous Corner and The Inspector Calls?
",J. B. Priestly,John Webster,Eugene Ionesco,Harold Pinter,J. B. Priestly
1547,"Name the author of The Dwarfs, The Homecoming, No Mans Land and The Caretaker.
",Harold Pinter,David Mamet,John Webster,John Boynton Priestly,Harold Pinter
1548,"The Importance of Being Ernest, A Woman of No Importance, An Ideal Husband are plays by this author.
",Oscar Wilde,Sean OCasey,Oscar Wilde,John Updike,William Inge
1549,"Which playwright wrote Riders to the Sea, The Tinkers Wedding, The Playboy of the Western World?
",J. M. Synge,William Inge,Sean OCasey,J. M. Synge,Patrick Flaherty
1550,"Who wrote The female knee is a joint and not an entertainment?
",Percy Hammond,Sir Walter Scott,Dr. Phil,Judge Judy,Percy Hammond
1551,"Who said Every radish I ever pulled up seemed to have a mortgage attached to it?
",Ed Wynn,Donald Trump,Ed Wynn,Al Jolson,Al Gore
1552,"Who wrote It is completely unimportant. That is why it is so interesting?
",Agatha Christie,Ely Culbertson,Agatha Christie,Sting,Al Jolson
1553,"Who said Beulah, peel me a grape?
",Mae West,Jenny Craig,Mae West,Don Johnson,Teri Hatcher
1554,"Who wrote You might as well fall flat on your face as lean over too far backward?
",James Thurber,Ronald Reagan,Jerry Springer,James Thurber,Phil Donahue
1555,"Who said You aint heard nothin yet, folks?
",Al Jolson,Louis Armstrong,Ray Charles,Al Jolson,Jesse Jackson
1556,"Who wrote Indeed, I tremble for my country when I reflect that God is just?
",Thomas Jefferson,George W. Bush,Abraham Lincoln,Thomas Jefferson,John F. Kennedy
1557,"Who said From the sublime to the ridiculous is but a step?
",Napoleon Bonaparte,Napoleon Bonaparte,Margaret Thatcher,Steve Martin,Groucho Marx
1558,"Who wrote Imitation is the sincerest of flattery?
",Charles Caleb Colton,Madonna,Cher,George Bernard Shaw,Charles Caleb Colton
1559,"Who wrote Then conquer we must, for our cause it is just?
",Francis Scott Key,Saddam Hussein,Francis Scott Key,George Washington,Osama Bin Laden
1560,"Which player was given the Calder Cup trophy in the 2005-2006 NHL season?
",Alexander Ovechkin,Vincent Lacavlier,Alexander Ovechkin,Eric Staal,Sidney Crosby
1561,"What NFL team won the 1999 Super Bowl?
",Denver Broncos,San Diego Chargers,Denver Broncos,New England Patriots,Atlanta Falcons
1562,"On February 24, 1982, ice hockey player Wayne Gretzky broke the record for most goals in a season, by scoring 76 goals.
",False,True,False,,
1563,"Who was the 2006-2007 Bowl Championship Series team winner?
",Florida Gators,Florida Gators,Notre Dame Fighting Irish,USC Trojans,Ohio Buckeyes
1564,"What was Jacqueline Kennedys maiden name?
",Bouvier,Bouvier,Bonaparte,Girard,Davis
1565,"What was Jacqueline Kennedys occupation?
",Book Editor,Book Editor,Accountant,Lawyer,Doctor
1566,"Where was Jacqueline Kennedy born?
","Southampton, New York","Newport, Rhode Island","McLean, Virginia","Southampton, New York",None of these
1567,"Jacqueline Kennedy graduated from George Washington University with a bachelor of arts degree in French literature.
",True,False,True,,
1568,"Jacqueline and John F. Kennedy had four children together.
",True,True,False,,
1569,"Jacqueline Kennedy became First Lady at the age of 31.
",True,True,False,,
1570,"Where did Jacqueline and John F. Kennedy honeymoon?
","Acapulco, Mexico","Acapulco, Mexico","Newport, Rhode Island","London, England","Paris, France"
1571,"What did Jacqueline Kennedy do after her husbands assassination?
",All of these,She refused to remove her blood-stained clothing.,All of these,She removed her wedding ring and slipped it onto the Presidents finger.,"She told aide Ken ODonnell, Now I have nothing left."
1572,"What happened after Jacqueline Kennedys marriage to shipping magnate Aristotle Onassis ?
",All of these,All of these,She lost her Secret Service protection.,She lost her Franking Privilege.,She became the target of paparazzi.
1573,"After Onassis death, Jacqueline Kennedy Onassis accepted from Onassiss daughter, Christina, a settlement of $26,000,000.
",True,False,True,,
1574,"Which Egyptian Pharaoh was named The Great Ancestor by his successors?
",Ramses II,Khufu (Cheops),Cleopatra,Seti I,Ramses II
1575,"Which ruler is considered the founder of the great Persian Empire?
",Cyrus the Great,Darius the Great,Xerxes,Hammurabi,Cyrus the Great
1576,"How old was Alexander the Great of Macedonia when he died?
",32,32,54,43,21
1577,"Which King of the Franks was also crowned Roman Emperor?
",Charles I the Great (Charlemagne),Napoleon Bonaparte,Louis XIV,Charles I the Great (Charlemagne),Louis XVI
1578,"Who was the first Emperor of the Holy Roman Empire?
",Otto I,Rudolph I Hapsburg,Conrad I,Otto I,Frederic Barbarossa
1579,"What was the name of the largest empire in pre-Columbian America, ruled by Huayna Capac?
",Inca,Aztec,Zulu,Inca,Mayan
1580,"Around the year 1200 AD a chieftain, called TemÃ¼jin, united tribes between Manchuria and Altai mountains and thus started one of the biggest empires in the world history. By what name is TemÃ¼jin better known?
",Genghis Khan,Tsar Ivan the Terrible,Genghis Khan,Attila the Hun,Kublai Khan
1581,"Shaka was a king of the Zulu Empire. Where was it situated?
",South Africa,South Africa,Japan and other Pacific islands,West Africa,Australia
1582,"This empire was ruled by Franz Joseph I for 68 years and was dissolved 2 years after his death.
",Austria-Hungary,Ottoman Empire,Poland-Lithuania,Austria-Hungary,Spanish Empire
1583,"Which of these great women was a monarch for the longest period of time?
",Queen Victoria of Great Britain,Tsaritsa Catherine II the Great of Russia,Queen Victoria of Great Britain,Queen Cleopatra of Egypt,Empress Dowager Cixi of China
1584,"Who came up with the stage name Tina Turner in the beginning of Anna Mae Bullocks career?
",Her husband Ike,Her husband Ike,Anne Mae herself,Her sister,Her mother
1585,"Actress Anne Hathaway has claimed that this Academy Award-winning actress is her idol and inspiration.
",Meryl Streep,Kate Winslet,Sally Field,Diane Keaton,Meryl Streep
1586,"Anne Boleyn was the second wife of Henry VIII of England and mother of this great English Queen.
",Queen Elizabeth I,Mary I of England,Queen Elizabeth II,Queen Elizabeth I,Queen Victoria
1587,"In what 2000 movie did LeAnn Rimes appear as herself, singing her song Cant Fight the Moonlight?
",Coyote Ugly,Northern Lights,Holiday in Your Heart,Coyote Ugly,Holly Hobbie and Friends: Christmas Wishes
1588,"Who was Saint Anne, also known as Hannah, according to Christian and Muslim tradition?
",The mother of the Virgin Mary,The mother of the Virgin Mary,The wife of King David,The sister of Saint Peter,The daughter of Abraham
1589,"What comedian did actress and director Anne Heche date for two years, earlier in her career?
",Steve Martin,Steve Martin,Chris Tucker,Martin Short,Whoopi Goldberg
1590,"This was the last movie in which Anna Nicole Smith appeared and was released after her death.
",Illegal Aliens,Be Cool,Wasabi Tuna,Illegal Aliens,Skyscraper
1591,"Dutch singer Anita Doth is popular as part of what group?
",2 Unlimited,Mis-Teeq,2 Unlimited,Shampoo,Vengaboys
1592,"What popular male singer did Russian tennis player and model Anna Kournikova start dating in 2001?
",Enrique Iglesias,Enrique Iglesias,Justin Timberlake,Ricky Martin,Marc Anthony
1593,"What was the name of Anne Franks (12 June 1929 - March 1945) diary when it was first published in English in 1952?
",The Diary of a Young Girl,Frank,The Life of a Child,A Flower in the Bud,The Diary of a Young Girl
1594,"Who does the following quote belong to: Everyone wants to ride in the limo - you want someone wholl take the bus with you if the limo breaks down?
",Oprah Winfrey,Bryan Adams,Robert De Niro,Oprah Winfrey,Meryl Streep
1595,"What popular actor and musician once said, The truth leaves a repairable cut, but a lie leaves a jagged wound. It doesnt easily heal?
",Will Smith,Chris Rock,John Bon Jovi,Will Smith,Elvis Presley
1596,"What is the final part of this quote by Cameron Diaz, I dont believe that you should make fun of anyone but ...?
",Yourself,Yourself,Yourself and your pets,Your closest relatives,Your closest friends
1597,"What famous American rapper once said, When you live your life afraid to die, youre afraid to live?
",50 Cent,Jay-Z,2Pac,Dr. Dre,50 Cent
1598,"Who does this quote belong to: Strength doesnt come from winning. Your struggles develop your strengths?
",Arnold Schwarzenegger,Denzel Washington,Dustin Hoffman,David Letterman,Arnold Schwarzenegger
1599,"What famous American actress came up with this quote: I find the less you focus on your flaws, the better off you are. Be yourself, and be glad?
",Michelle Pfeiffer,Heather Graham,Drew Barrymore,Michelle Pfeiffer,Uma Thurman
1600,"What is the missing word from this statement made by Jada Pinkett Smith: What makes you valuable is your ..., and how you present yourself to the world?
",Heart,Legacy,Heart,Soul,Emotions
1601,"Who said the following: Its distancing when people say they dont have problems. Lifes about messing up and getting on your feet again?
",Debra Messing,Tyra Banks,Audrey Hepburn,George Michael,Debra Messing
1602,"What American actress and model once said, Nobody is tough and strong all the time. To say that is to deny human emotion?
",Liv Tyler,Liv Tyler,Vanessa Williams,Elle Macpherson,Cameron Diaz
1603,"What is the missing part from this quote by Keanu Reeves: The simple act of ... can take you a long way?
",paying attention,paying attention,trying something,getting involved,taking a glimpse
1604,"This Swiss Miss portrayed Honey Ryder in the James Bond movie Dr. No.
",Ursula Andress,Jill St. John,Claudine Auger,Honor Blackman,Ursula Andress
1605,"He was born Charles Edouard Jeanneret in 1887 in Switzerland. He became one of the worlds greatest and most famous architects, championing the International Style. What pseudonym did he adopt?
",Le Corbusier,van der Rohe,Frank Lloyd Wright,Gropius,Le Corbusier
1606,"He was born outside of Bern in 1879 and studied art throughout Europe. His style is difficult to classify as his works show cubist, surrealist, and expressionistic aspects. Perhaps his most famous painting is of a cat.
",Paul Klee,Hans Marc,Edward Munch,Paul Klee,Jean Crotti
1607,"This Swiss family just churned out great mathematicians in the 17th and 18th Centuries.
",Bernoulli,Piccard,Riemann,Bernoulli,Euler
1608,"Although he is best known as a leader of the French revolution, this man was born in Switzerland. Jacques Louis-Davids 1793 painting depicts his murder in a bathtub.
",Marat,Corday,Robespierre,Marat,Jacobin
1609,"This tennis great was born in 1981 in Basil.
",Roger Federer,Vlade Hahn,Paul Accola,Martina Hingis,Roger Federer
1610,"This person, born in Geneva in 1896, is most famous as an expert in developmental psychology.
",Jean Piaget,Jurgen Habermas,Alfred Adler,Jean Piaget,Carl Jung
1611,"This man was appointed to the rare rank of General of the Swiss Army during World War II.
",Henri Guisan,Ulrich Wille,Hans Herzog,Christophe Keckesis,Henri Guisan
1612,"He was a Swiss-born mathematician who invented what we now call Sudoku puzzles. He is known as the most prolific mathematician although he was blind.
",Euler,Riemann,Escher,Bernoulli,Euler
1613,"Although his cars are American, this carmaker was born in Switzerland in 1878.
",Chevrolet,Chevrolet,Dodge,Duryea,Olds
1614,"This great sculptor was born in Borgonovo in 1901. His work Grande Femme Debout II was bought in 2008 for $27,4000,00.
",Giacometti,Klee,Giacometti,Gutmann,Reinhardt
1615,"This Swiss family boasts at least three generations of balloonists and inventors. What is their last name?
",Piccard,Salver,Piccard,Hauptmann,DOrex
1616,"This guitarist, who received a B.A. in music from Princeton University, played on New York City street corners for many years until being discovered.
",Stanley Jordan,Stanley Clarke,Joe Pass,George Benson,Stanley Jordan
1617,"Which French performer and mime is famous for his character Bip?
",Marcel Marceau,George Chevallier,Albert Brooks,Marcel Marceau,Charles De Gaulle
1618,"Which statement is true about Oofty Goofty, a famous street performer in San Francisco?
",He was a professional masochist.,He claimed to be a mime yet did nothing but  talk.,He performed famous Shakespearean speeches on the streets of San Francisco.,By day he played oldies on the street and at night performed at the Filmore East.,He was a professional masochist.
1619,"Which of these cities hosts an international street performers festival each year?
","Edmonton, Canada","San Francisco, California","London, U.K.","Edmonton, Canada","Paris, France"
1620,"Which of the following words means a street performer?
",Busker,Bucolianist,Strassedarfter,Viaridian,Busker
1621,"Which one of the following is famous for running a school for mimes in New York City ?
",Gregg Goldston,Jewel Walker,Gregg Goldston,Desmond Jones,Martyn Hermanosa
1622,"This group, formed in 1972 by Bernie Schurch, Andre Bossier and Floriano Frassetto, featured mime with bizarre masks and an innovative use of light and shadow.
",Mummenschanz,Cirque de Soleil,Les Cyclic Groupe,Mummenschanz,Blue Group
1623,"Which of these was a landmark case legalizing street performers?
",Davenport v. City of Alexandria,Eugen v. Debs,Davenport v. City of Alexandria,Goldstein v. Town of Nantucket,Bery v. New York
1624,"What was Theodore Roosevelts wifes first name?
",Edith,Edith,Edna,Eleanor,Helen
1625,"What was the nickname of President Warren Hardings wife, Florence?
",Fossie,Fossie,Flossie,Crete,Flo
1626,"Eleanor Roosevelt did not become politically active until her husband was elected president.
",False,False,True,,
1627,"Lady Bird Johnson was on board Air Force One when her husband was sworn as the 36th president of the U.S. after the assassination of President John F. Kennedy.
",True,True,False,,
1628,"What Italian explorer sailed to the New World in 1499 and 1502, and explored the east coast of South America?
",Amerigo Vespucci,Vasco da Gama,Amerigo Vespucci,John Cabot,Christopher Columbus
1629,"What is the name of the French explorer who discovered Canada and claimed it for France?
",Jacques Cartier,Jacques Cartier,Frank Cole,Pierre-Jean De Smet,All of these
1630,"Whose Portuguese explorers expedition was the first to complete a circumnavigation of the planet in a single voyage?
",Ferdinand Magellan,Christopher Columbus,Vasco da Gama,Ferdinand Magellan,Amerigo Vespucci
1631,"What is the name of the first European to reach Tibet?
",Antonio de Andrade,Francis Drake,Willem Barentsz,Luis Vaez de Torres,Antonio de Andrade
1632,"On May 29, 1953, Nepali Indian Sherpa mountaineer Tenzing Norgay and this explorer from New Zealand became the first ever to reach the summit of Mount Everest.
",Edmund Hillary,Edmund Hillary,Tom Crean,Frank Cole,Reinhold Messner
1633,"What Portuguese explorer is believed to have discovered Brazil?
",Pedro Alvares Cabral,Pedro Alvares Cabral,Vasco Nunez de Balboa,Juan Ponce de Leon,Francisco Pizarro
1634,"What Spanish explorer conquered the Aztec Empire in the 16th century?
",Hernan Cortes,Francisco Pizarro,Giovanni da Verrazzano,Hernan Cortes,Francisco de Orellana
1635,"In 1888, this Norwegian explorer became the first human to cross by ski the Greenland ice cap.
",Fridtjof Nansen,Knud Rasmussen,Otto Sverdrup,Fridtjof Nansen,Roald Amundsen
1636,"This Canadian explorer was the first North American to cross the Sahara desert alone on a camel in 1990.
",Frank Cole,Frank Cole,Reinhold Messner,Jeremy Curl,Ranulph Fiennes
1637,"What Spanish explorer became the first European to cross the Isthmus of Panama and see the Pacific ocean from the shores of America?
",Vasco Nunez de Balboa,Vasco Nunez de Balboa,Antonio de Andrade,Francisco Vasquez de Coronado,Juan Sebastian Elcano
1638,"When did Henry VIIIs reign as King of England end?
",28 January 1547,28 January 1547,28 January 1777,28 January 1667,28 January 1447
1639,"How many times did Henry VIII of England marry?
",six,seven,six,five,eight
1640,"How many of Henry VIIIs wives were called Catherine?
",Three,One,Two,Four,Three
1641,"Henry VIII was known as a â€œRenaissance Manâ€.
",True,False,True,,
1642,"Henry VIII desperately desired to have a son and Anne Boleyn was able to fulfill his dream.
",False,True,False,,
1643,"What was Anne Boleyn, Henry VIIIs second wife, accused of?
","Adultery, incest and high treason",Murder,All of these,"Adultery, incest and high treason",Witchcraft
1644,"Which of Henry VIIIs wives gave birth to his son, Prince Edward?
",Jane Seymour,Anne of Cleves,Catherine Howard,Anne Boleyn,Jane Seymour
1645,"In 1536, Henry VIIIs two daughters, Mary and Elizabeth, were declared illegitimate.
",True,False,True,,
1646,"Henry VIII called for public displays of joy upon the death of his ex-wife Catherine of Aragon.
",True,False,True,,
1647,"Henry VIII enjoyed good health before his death.
",False,False,True,,
1648,"Which of the following Bobs had a famous song called Blowin in the Wind?
",Bob Dylan,Bob Dylan,Bob Denver,none of these,Bob Carlisle
1649,"Who was the first man to climb Mount Everest?
",Edmund Hillary,Igor Sicorski,Joseph Scott,Edmund Hillary,Robert Gormand
1650,"Who was the first man to run the mile in less than 4 minutes?
",Roger Bannister,Sabastian Coe,Elroy Face,Thomas Engles,Roger Bannister
1651,"What actor was nominated for an Academy Award for his portrayal of Facebook creator Mark Zuckerberg?
",Jesse Eisenberg,Jesse Eisenberg,Justin Timberlake,Max Minghella,Daniel Radcliffe
1652,"What American actor, director and producer of Italian and black ancestry was born Mark Sinclair Vincent in 1967?
",Vin Diesel,Val Kilmer,Vincent Price,Vince Vaughn,Vin Diesel
1653,"What celebrity was murdered by Mark David Chapman on 8 December, 1980 in New York City?
",John Lennon,Jimi Hendrix,Marvin Gaye,John Lennon,Johnny Cash
1654,"It is generally believed that Mark Anthony and his lover Cleopatra committed suicide after being defeated by this emperor.
",Octavian (Augustus),Caligula,Gaius Julius Caesar,Marcus Aurelius,Octavian (Augustus)
1655,"What British rock band did Mark Knopfler co-found with his brother David in 1977?
",Dire Straits,Led Zeppelin,Dire Straits,AC/DC,Deep Purple
1656,"Who portrayed Luke Skywalker in George Lucas original Star Wars trilogy?
",Mark Hamill,Mark Williams,Mark Hamilton,Mark Hamill,Mark Wahlberg
1657,"Which statement is not true about Marcus Aurelius, who ruled the Roman Empire from 161 to 180?
",He was killed by his son Commodus.,He was adopted by Roman Emperor Antonius Pious and succeeded him in 161.,He was killed by his son Commodus.,He wrote Meditations.,He was a prominent Stoic philosopher.
1658,"What romantic comedy movie, starring Julia Roberts and Richard Gere, featured Marc Anthonys song You Sang to Me?
",Runaway Bride,Pretty Woman,My Best Friends Wedding,Runaway Bride,Notting Hill
1659,"What American actor became famous as a member of the 1990s hip-hop band Marky Mark and the Funky Bunch?
",Mark Wahlberg,Mark Wahlberg,Mark Hamill,Mark Margolis,Mark Ruffalo
1660,"What statement is not true about Samuel Langhorne Clemens, better known by his pen name Mark Twain?
",He possessed financial acumen and made successful investments in various inventions.,He died during a visit of the Halleys Comet.,He was born during a visit of the Halleys Comet.,He possessed financial acumen and made successful investments in various inventions.,He patented some inventions.
1661,"She was one of the wealthiest and most powerful women of feudal Europe. At the age of 15 she married Louis VII, King of France and her second husband was King Henry II of England.
",Eleanor of Aquitaine,Sancha de Ayala,Eleanor of Aquitaine,Elizabeth of York,Queen Elizabeth I
1662,"This Spanish lady came to England in 1371 as part of the retinue accompanying DoÃ±a Constanza.
",Sancha de Ayala,Isabella II,Sancha de Ayala,Isabel of Mar,None of these
1663,"Name Henry VIIIs daughter by his second wife, Anne Boleyn.
",Elizabeth I,Mary Tudor,Elizabeth I,Mary Stewart,Elizabeth of York
1664,"According to legend, this Anglo-Saxon noblewoman of the 11th century rode naked through the streets of Coventry, England.
",Lady Godiva,Anna of Cleves,Catherine of Aragon,Lady Godiva,Lady Jane Grey
1665,"Which lady ruled England for nine days?
",Jane Grey,Jane Seymour,Jane Grey,Catherine Parr,Katherine Howard
1666,"Isabella of Mar died before her husband Robert the Bruce was crowned King of Scots, and never became Queen.
",True,True,False,,
1667,"Saint Margaret, Queen of Scotland was canonized by Pope Innocent IV and was declared the patroness and protectress of Scotland.
",True,True,False,,
1668,"Which of Henry VIIIs daughters became known as â€œBloody Maryâ€?
",Mary Tudor,Mary Queen of Scots,Mary Tudor,Mary Shelly,None of these
1669,"Anne Boleyn, Jane Seymour, Anna of Cleves, Katherine Howard and Elizabeth of York were all married to Henry VIII.
",False,True,False,,
1670,"Which of the following books focuses on the life of Elizabeth of York?
",All of these,The Dragon and the Rose by Roberta Gellis,The Tudor Rose by Margaret Campbell Barnes,All of these,The Kings Daughterby Sandra Worth
1671,"This Indian peace activist, who was assassinated in 1948, wrote the book The Moral Basis of Vegetarianism.
",Mahatma Gandhi,Sheikh Mehtab,Baba Amte,Mahatma Gandhi,Shah Jahan
1672,"This American photographer wrote several cookbooks and introduced a line of frozen vegetarian meals in 1991.
",Linda McCartney,Linda McCartney,Lee Miller,Pat Booth,Amy Berliner
1673,"This Russian writer was the author of The Death of Ivan Ilyich, War and Peace as well as of several essays on vegetarianism.
",Leo Tolstoy,Maxim Gorky,Alexander Pushkin,Leo Tolstoy,Fyodor Dostoevsky
