,Questions,Correct,A,B,C,D
1493,"The Carboniferous period is divided into two separate periods. What are they known as?
",Mississippian and Pennsylvanian,None of these,Georgian and Californian,Devonian and Carboniferous,Mississippian and Pennsylvanian
1494,"What does the word Carboniferous mean?
",Coal producing,Coal producing,Oil producing,Limestone producing,Carbon producing
1495,"The level of oxygen during the Carboniferous was significantly higher than today.
",True,False,True,,
1496,"This person described both the Silurian and Permian systems during the 19th century.
",Roderick Murchison,George Cuvier,Charles Darwin,Roderick Murchison,Charles Lyell
1497,"The first reptiles evolved during the Permian period.
",False,False,True,,
1498,"A monumental mass extinction event occurred at the end of the Permian period. Approximately what percent of all life died out during this event?
",90%,10%,50%,90%,70%
1499,"The oldest known rocks come from the Nuvvuagittuq greenstone belt and are approximately how old?
",4200 million years old,2500 million years old,4500 million years old,3800 million years old,4200 million years old
1500,"By 2.7 billion years ago Stromatolites were widespread in the Precambrian seas and still exist in hypersaline areas such as Shark Bay, Australia.
",True,True,False,,
1501,"This era lasted from 543 million to 251 million years ago.
",Paleozoic,Paleozoic,Cenozoic,Mesozoic,Neoproterozoic
1502,"This geological period lasted from 543 million to 490 million years ago.
",Cambrian,Ordovician,Silurian,Cambrian,Precambrian
1503,"What term refers to a raise in biodiversity which occurred during the Cambrian period?
",Cambrian explosion,None of these,Mass radiation of life,Cambrian explosion,Biodiversity boom
1504,"Vertebrates evolved during the Cambrian period.
",True,True,False,,
1505,"Anomalocaris was a predatory athropod of the Cambrian period which attained sizes of 100 cm or more.
",False,True,False,,
1506,"What current day continent was once part of Laurentia?
",North America,Asia,Europe,North America,South America
1507,"This ocean existed throughout the Paleozoic in the northern hemisphere and is now represented by the Pacific Ocean.
",Panthalassic ocean,Iapetus ocean,Panthalassic ocean,Paleo-Tethys ocean,Rheic ocean
1508,"What geological period followed the Cambrian and lasted from 490 million to 443 million years ago?
",Ordovician,Silurian,Ordovician,Permian,Vendian
1509,"What science deals with the study of ancient life, the evolution of organisms, and paleoenvironments?
",Paleontology,Paleontology,Darwinism,Geology,Biology
1510,"What is a fossil?
","The preserved remains or traces of an organism which is over 10,000 years old","The preserved remains or traces of an organism which is over 10,000 years old",Anything which looks of organic origin which is discovered in rocks,None of these,The preserved remains or traces of an organism
1511,"Scientists generally recognized how many major mass extinctions in the history of life on Earth?
",5,2,4,5,6
1512,"It is possible to find the ages of rocks by measuring the amount of decay an unstable atom undergoes into a more stable atom.
",True,False,True,,
1513,"Carbon, hydrogen, oxygen, nitrogen, phosphorus, sulfur, and energy are required by living things as well as trace amounts of numerous other elements.
",True,True,False,,
1514,"When is it believed that the Earth formed?
",4.5 billion years ago,4.5 billion years ago,12 billion years ago,3.8 billion years ago,250 million years ago
1515,"Approximately what age are the oldest fossils now known?
",3.8 billion years old,540 million years old,3.8 billion years old,4.5 billion years old,2.5 billion years old
1516,"What is the largest interval of time on most geologic time scales?
",Eon,Epoch,Era,Eon,Period
1517,"What time units are shorter than epochs in geologic time scales?
",Age,None of these,Age,Period,Both of these
1518,"This early super-continent formed during the Mesoproterozoic era.
",Rodinia,Pangaea,Gondwana,Rodinia,Pannotia
1519,"He is the caretaker of Hogwarts and his final act in the Harry Potter series is to oversee the evacuation of younger students.
",Argus Filch,Filius Flitwick,Argus Filch,Horace Slughorn,Phineas Nigellus Black
1520,"In the Harry Potter series, Quirrell was the Muggle Studies teacher at Hogwarts, before taking the cursed Defence Against the Dark Arts position.
",True,True,False,,
1521,"In the Harry Potter series, Sybill Patricia Trelawney is the great-great-granddaughter of what celebrated seer?
",Cassandra Trelawney,Rebecca Trelawney,Katherine Trelawney,Cassandra Trelawney,Elizabeth Trelawney
1522,"What is the first name of Mad-Eye Moody in the Harry Potter series?
",Alastor,Alastor,Astor,Barty,Bartemius
1523,"In the Harry Potter series, Madame Hoochs full name is Rolanda Hooch.
",True,False,True,,
1524,"Name the Defence Against the Dark Arts teacher during Harrys third year who resigned after the revelation that he is a werewolf.
",Remus Lupin,Remus Lupin,Quirinus Quirrell,Gilderoy Lockhart,Horace Slughorn
1525,"Dolores Jane Umbridge is the Defence Against the Dark Arts teacher in Harry Potter and the Goblet of Fire.
",False,True,False,,
1526,"This character makes his first appearance in Harry Potter and the Chamber of Secrets when he arrives at Hogwarts to take Hagrid to Azkaban.
",Cornelius Fudge,Kingsley Shacklebolt,Grogan Stump,Rufus Scrimgeour,Cornelius Fudge
1527,"What is the name of the company that fictional character Vernon Dursley works in?
",Grunnings,Grittings,Great Drilling Tools,Greennings,Grunnings
1528,"How long was Voldemorts first reign of terror?
",11 years,11 years,13 years,12 years,10 years
1529,"What was the name of the hotel Vernon stopped before going to the cabin on the sea in the first book of the Harry Potter series?
",Railview Hotel,Railway Motel,Railcoach Hotel,Railview Hotel,Railway Hotel
1530,"How many stairs are there in the fictional Hogwarts School of Witchcraft and Wizardry?
",142,142,122,132,152
1531,"What was the name of the last student sorted in Harry Potters first year and what house was he sorted into?
",Blaise Zabini - Slytherin,Blaise Zabini - Slytherin,Bryan Zabini - Slytherin,Blaise Zabini - Hufflepuff,Bryan Zabini - Hufflepuff
1532,"How many fouls are there in the fictional sport Quidditch?
",700,900,300,500,700
1533,"When was the last recorded time that all possible Quidditch fouls happened in a single game?
",in 1472,In 1482,In 1492,in 1472,In 1457
1534,"Who was Slytherins seeker during Harry Potters first year?
",Terence Higgs,Richard Tieze,Terence Higgs,Vince Nott,Blaise Zabini
1535,"What is the incantation for the Leg-Binding curse as revealed in the first book of the Harry Potter series?
",Locomotio Mortis,Cruris Ligandum,Legulus-tanglatus,Locomotio Mortis,Subsisto pedes
1536,"How old is Nicolas Flamel in the book that Hermione reads to Harry and Ron in Harry Potter and the Philosophers Stone?
",665 years,666 years,661 years,665 years,664 years
1537,"What phenomenon is caused by the collision of high-energy charged particles?
",Aurora Borealis,Aurora Borealis,Red Tides,Mammatus Clouds,Supercells
1538,"Which of these are harbingers of a coming storm?
",Mammatus Clouds,None of these,Mammatus Clouds,Gravity Waves,Northern Lights
1539,"Red tide refers to algae that accumulate rapidly and cause discoloration of the surface water.
",True,True,False,,
1540,"The term Penitentes refers to which of the following?
",ice spikes,stones,waves,clouds,ice spikes
1541,"The Death Valley is home to the Sailing Stones.
",True,False,True,,
1542,"Which of these is characteristic of a supercell?
",All of these,Strong winds,Substantial downbursts,Torrential rainfall and hail,All of these
1543,"An extreme example of a fire whirl occurred in 1923 in this country.
",Japan,USA,Japan,France,China
1544,"Ice circles or ice discs can only be observed in Scandinavia.
",False,True,False,,
1545,"What phenomenon is caused by air displaced within a vertical plain?
",Gravity waves,Aurora Borealis,Hums,None of these,Gravity waves
1546,"The Hum is a phenomenon sometimes described as sounding like a distant idling diesel engine.
",True,False,True,,
1547,"She posed herself as a princess from Java and her stage-name meant â€œsunâ€ or â€œeye of the dawnâ€.
",Mata Hari,Josephine Baker,Mata Hari,Mae West,Gypsy Rose Lee
1548,"Julius and Ethel Rosenberg were American Communists spying for this country.
",The Soviet Union,France,USA,The Soviet Union,Germany
1549,"Aldrich Ames is a former CIA Counter-intelligence Officer who was convicted of spying for Germany.
",False,True,False,,
1550,"He was a spy for the Venetian Inquisitors from 1774 until 1782 when he was exiled from Venice.
",Giacomo Casanova,None of these,Giacomo Casanova,Giacomo Quarenghi,Giacomo Leoni
1551,"What was the occupation of Klaus Fuchs who was convicted of spying for the Soviet Union?
",theoretical physicist,theoretical physicist,lawyer,intelligence officer,doctor
1552,"John Andre was a French officer hanged as a spy during the American Revolutionary War.
",False,False,True,,
1553,"This captain during the American Revolutionary War is widely considered to be Americaâ€™s first spy. Before being hanged he said â€œI only regret that I have but one life to lose for my countryâ€.
",Nathan Hale,None of these,Nathan Hale,John Andre,William Hull
1554,"Bella Boyd was a confederate spy in the American Civil War.
",True,True,False,,
1555,"The Cambridge Five was a ring of Soviet spies based in the UK.
",True,False,True,,
1556,"This spy for the Soviet Union worked as a journalist in both Germany and Japan during WWII.
",Richard Sorge,Kim Philby,Richard Sorge,Guy Burgess,Donald Duart Maclean
1557,"The horror! The horror! were the last words of this character from Joseph Conrads novel Heart of Darkness.
",Mr. Kurz,Charles Marlow,Fresleven,Helmsman,Mr. Kurz
1558,"This character, depicted by Mario Puzo in a famous crime novel, dies of a heart attack while playing with his grandson. His last words are Life is so beautiful.
",Vito Corleone,Vito Corleone,Peter Clemenza,Michael Corleone,Tommy DeVito
1559,"Bad form, said this character and fell into the jaws of a crocodile after being kicked by the boy who wouldnt grow up.
",Captain Hook,Captain Ahab,Popeye,Captain Nemo,Captain Hook
1560,"These were the last words spoken by Oscar Wildes character Dorian Grey, before the servants found his body, stabbed in the heart and suddenly aged.
","Very well. I shall be here at eleven. Good night, Harry.",Me. . .Ethan. . .All of the unclaimed. . .Dont let it happen again.,"Thanks. Youve been my friend, Garraty... another time, another place.","Very well. I shall be here at eleven. Good night, Harry.","Fix my hair, Jack."
1561,"This young, mysterious millionaire, later revealed to be a bootlegger, said, Well, good-by before being shot by George Wilson.
",Jay Gatsby,John Yossarian,Jay Gatsby,Jordan Baker,Nick Carraway
1562,"Im cold were the last words uttered by this Catch-22 character after he was mortally injured by antiaircraft fire.
",Snowden,Snowden,Yossarian,Major Major,Milo Minderbinder
1563,"This character, known for roaming the depths of the sea in his submarine, the Nautilus, dies saying God and my country!
",Captain Nemo,Captain Nemo,Captain Hook,Captain Ahab,Captain Aardvark
1564,"In what Ernest Hemingway novel does nurse Catherine Barkley say Dont worry, darling. Im not a bit afraid. Its just a dirty trick before dying during childbirth?
",A Farewell to Arms,The Old Man and the Sea,The Sun Also Rises,A Farewell to Arms,For Whom the Bell Tolls
1565,"A horse, a horse, my kingdom for a horse! shouts this Shakespearean character before being killed by Richmond in the final duel.
",Richard III,King Lear,Henry V,Richard III,Henry VI
1566,"This character from the Harry Potter series said Come on, you can do better than that! after Bellatrix Lestrange fired a curse at him and missed.
",Sirius Black,Cedric Diggory,Sirius Black,Albus Dumbledore,Severus Snape
1567,"Which colour of the rainbow comes immediately after red?
",orange,green,yellow,blue,orange
1568,"Which of these pigments is dominantly found in red hair?
",pheomelanin,melanin,neuromelanin,pheomelanin,eumelanin
1569,"Which of the Teenage Mutant Ninja Turtles wears a red mask and red cloth around his knees?
",Raphael,Donatello,Raphael,Leonardo,Michaelangelo
1570,"Are both the solid red ball and the striped red ball in pool on odd numbers?
",Yes,Yes,No,,
1571,"What little girl had to face The Red Room in the second chapter of a famous novel?
",Jane Eyre,Elizabeth Bennet,Jane Eyre,Elinor Dashwood,Matilda Wormwood
1572,"Why were red MMs banned from 1976 to 1986?
",The amaranth dye was thought to be a carcinogen.,It was randomly chosen because Mars Inc. needed to reduce production of one color due to a market decline.,They were voted to be taken out.,They didnt go well with the color scheme of a new brand.,The amaranth dye was thought to be a carcinogen.
1573,"Do the red candy in the original Skilttles and the original Starburst in the red wrapper have the same flavor?
",No,Yes,No,,
1574,"The Second Red Scare, which dealt with negative communistic influence in the U.S., was spurred by  former Wisconsin senator Joseph McCarthy after which war?
",WWII,The Gulf War,WWII,The Vietnam War,WWI
1575,"Which of the original Pac-Man ghosts is red?
",Blinky,Blinky,Pinky,Clyde,Inky
1576,"Which one of the 4 original male power rangers was the Red Ranger?
",Jason Lee Scott,Billy Cranston,Zach Taylor,Jason Lee Scott,Tommy Oliver
1577,"How many red coins did Mario have to collect in Super Mario 64 in order to gain a star?
",8,100,8,50,10
1578,"Complete the title of this 1983 song by Prince:
",ttle Red ________,Corvette,Impala,Malibu,Corvette
1579,"Which of these is NOT true about these movies?
","In the 2008 film Red, starring Brian Cox, Red is the nickname of the main characters wife.","In the 2002 Tamil film Red, Red stands for Revolution, Education, Development.","In the 2010 film RED, starring Bruce Willis, Morgan Freeman and Helen Mirren, RED stands for Retired, Extremely Dangerous.","In the 1984 movie Reds, directed and produced by Warren Beatty, the Reds are members of the American Communist Party.","In the 2008 film Red, starring Brian Cox, Red is the nickname of the main characters wife."
1580,"What big red dog, created in 1963 by Norman Birdwell, is owned by Emily Elizabeth Howard?
",Clifford,Clifford,Abraham,Duke,Hastings
1581,"Which of these countries does NOT touch the Red Sea?
",Iraq,Egypt,Sudan,Saudi Arabia,Iraq
1582,"In hospitals, what does a code red usually signify?
",fire,earthquake,bomb,mass infection,fire
1583,"Does hemoglobin make red blood cells red?
",Yes,Yes,No,,
1584,"The Cincinnati Reds were once called the Cincinnati Red Stockings. The Red Sox, with a name (Sox) thats a plural of sock, is from what U.S. city?
",Boston,Boston,Atlanta,New York,Cleveland
1585,"Are the Washington Redskins, an NFL team, closer to Washington state than they are to Washington D.C.?
",No,Yes,No,,
1586,"Which of the planets in the solar system has a storm on it that scientists have dubbed the Big Red Spot?
",Jupiter,Jupiter,Neptune,Uranus,Saturn
1587,"What Greek philosopher mentioned Atlantis for the first time?
",Plato,None of these,Aristotle,Plato,Socrates
1588,"The possible existence of Atlantis was never discussed throughout classical antiquity.
",False,True,False,,
1589,"ReichsfÃ¼hrer-SS Heinrich Himmler organized a German expedition to Tibet to search for Aryan Atlanteans.
",True,True,False,,
1590,"What Swedish scholar published the book Atland in several volumes, starting in 1679?
",Olaus Rudbeck,Bernhard Helander,Olaus Rudbeck,Ronald Stade,Anders Retzius
1591,"New Atlantis is a novel by Sir Francis Bacon.
",True,False,True,,
1592,"In his work The Chronology of the Ancient Kingdoms Amended this scholar studied a variety of mythological links to Atlantis.
",Isaak Newton,Isaak Newton,Marie Curie,Albert Einstein,Socrates
1593,"Who thought that Atlantis was a naval power lying in front of the Pillars of Hercules and that it sank into the ocean in a single day and night of misfortune.
",Plato,Aristotle,Plato,Homer,Pythagoras
1594,"Which of the following movies makes references to Atlantis?
",All of these,Indiana Jones and the Fate of Atlantis (1992),"10,000 BC (2008)",Journey to the Center of the Earth (1959),All of these
1595,"Jules Verne wrote the science fiction novel The Maracot Deep which describes the discovery of the sunken remains of Atlantis.
",False,True,False,,
1596,"Theosophists consider themselves spiritual and even genetic descendants of the inhabitants of the lost Atlantis.
",True,False,True,,
1597,"In what country does the movie One Hundred and One Dalmatians take place?
",Great Britain,The United States of America,Great Britain,France,Australia
1598,"What is the name of the main antagonist/villainess in the animated feature One Hundred and One Dalmatians?
",Cruella,Estella,Drizella,Anastasia,Cruella
1599,"In the movie One Hundred and One Dalmatians, who goes into Hell Hall in order to rescue the puppies before Pongo and Perdita arrive there?
",Sergeant Tibbs,Colonel,Lieutenant Pussywillow,Sergeant Tibbs,Captain
1600,"In the animated film One Hundred and One Dalmatians, what distracts the Baduns long enough to allow Sergeant Tibbs to flee with the puppies?
",A television show called Whats My Crime,A television show called Whats My Crime,A video game called Whats My Crime,A board game called Whats My Crime,A radio chat segment called Whats My Crime
1601,"In the movie One Hundred and One Dalmatians, what does Cruella do to convince the Dearlys that shes innocent of the kidnapping?
",Calls them to console with them,Drives around Regents Park looking for them,Calls them to console with them,Writes them a letter expressing her sorrow for them,Comes over to their house to console them for their loss
1602,"How many Dalmatian puppies were stolen by Cruella, Jasper and Horace in the movie One Hundred and One Dalmatians?
",15,99,101,15,97
1603,"Which of these was the only trick that succeeded in completely eluding Jasper, Horace, and Cruella in the movie One Hundred and One Dalmatians?
",The puppies hiding under the bridge,Sergeant Tibbs escape through the hole in the wall,Pongo disguising the Dalmatians as Labradors,Pongo erasing the pawprints from the road,The puppies hiding under the bridge
1604,"In what month were Pongo and Perditas 15 puppies born in the animated film One Hundred and One Dalmatians?
",October,April,January,October,July
1605,"In the movie One Hundred and One Dalmatians, what is the occupation of Pongos owner Roger Radcliffe?
",songwriter,writer,actor,painter,songwriter
1606,"A character in the movie High School Musical is named Sharpay. Is there a dog breed with the same name?
",Yes,Yes,No,,
1607,"What is the name of Sharpays twin brother in the movie High School Musical?
",Ryan,Ryan,Brandon,Jerry,Tyler
1608,"In the movie High School Musical, Taylor is portrayed by Raven Symone.
",False,True,False,,
1609,"In the first High School Musical movie, is the final basketball game interrupted?
",Yes,No,Yes,,
1610,"Is the Evans dog in High School Musical played by the movie directors dog?
",Yes,Yes,No,,
1611,"In High School Musical, Troys father is the coach of the East High football team.
",False,True,False,,
1612,"Where do Troy and Gabriela first meet in the movie High School Musical?
",at a ski lodge,at a ski lodge,during a basketball game,at the airport,at the library
1613,"While he was driving his car down a California highway, this star said : This guys got to stop...hell see us.
",James Dean,Jimmy Olsen,Jimmy Stewart,James Mason,James Dean
1614,"What were the last words of Richard Holbrooke, a top level US diplomat?
",Weve got to stop this war in Afghanistan.,We must bomb Cuba out of existence.,We must get our troops out of San Marino.,We should back the Bolivians in the Falklands War.,Weve got to stop this war in Afghanistan.
1615,"Which great minds last words were: I have offended God and mankind because my work did not reach the quality it should.?
",Leonardo Da Vinci,Michael Landon,Leonardo Da Vinci,Dan Quayle,Dan Blocker
1616,"He was one of the great show producers in America. His last words were: Curtain! Fast music! Light! Ready for the last finale! Great! The show looks  good, the show looks good!
",Flo Ziegfeld,Damon Runyon,Flo Ziegfeld,Jackie Gleason,Noble Sisley
1617,"His nine symphonies are still studied and played today. His last words were Friends applaud, the comedy is finished.
",Beethoven,Mozart,Giotto,Hayden,Beethoven
1618,"This man gave us Tom Thumb and Jumbo the Elephant . His last words were: How were the receipts at Madison Square Garden?
",P.T. Barnum,Marcus Dupree,P.T. Barnum,Flo Ziegfield,Oscar Hammerstein II
1619,"Although he was never President, this man had a great influence on American history. His last words were A dying man can do nothing easy.
",Ben Franklin,James Harrison,Ben Franklin,Franklin Pierce,Zachary Taylor
1620,"Her last radio message was KHAQQ calling Itasca. We must be on you. Gas is running low.
",Amelia Earhart,Wilona Post,Margaret Mitchell,Amelia Earhart,Leonia Carroll
1621,"It is very beautiful over there. were the last words of this famous American. I hope a light bulb goes on and your phonograph is off when you get the  answer.
",Thomas Alva Edison,Thomas Alva Edison,Tony Trabert,Thaddeus Martin,John Baresford Tipton
1622,"Id hate to die twice. It is so boring. were the last words of this great scientist, famous for finding the cause of the Challenger tragedy.
",Richard Feynman,Tom Ricketts,Dale Evans,John Baresford  Tipton,Richard Feynman
1623,"Elizabeth Rosemond Taylor was born in 1932 in a wealthy district of this city.
",London,New York City,Paris,Boston,London
1624,"What film studio cancelled Elizabeth Taylors contract after its production chief stated that She cant sing, she cant dance, she cant perform.?
",Universal,Metro-Goldwyn-Mayer,Universal,20th Century Fox,Warner Bros.
1625,"What 1950 comedy movie starring Elizabeth Taylor, Spencer Tracy and Joan Bennett was remade in 1991?
",Father of the Bride,A Place in the Sun,Whos Afraid of Virginia Woolf?,Father of the Bride,The Taming of the Shrew
1626,"What statement regarding Elizabeth Taylors marriages is NOT correct?
",All her marriages ended in divorce.,She was married eight times to seven husbands.,All her marriages ended in divorce.,She had four children with three different husbands.,She married twice one and the same person.
1627,"What 1960 movie stars Elizabeth Taylor as a fashion model and party girl who lives a wild and promiscuous life?
",BUtterfield 8,BUtterfield 8,The V.I.P.s,Whos Afraid of Virginia Woolf?,"Suddenly, Last Summer"
1628,"What famous pearl did Richard Burton purchase in 1969 as a Valentines Day present for his then-wife Elizabeth Taylor?
",La Peregrina,The Pearl of Allah,La Peregrina,The Huerfana,The Margarita Pearl
1629,"Which of these is NOT a perfume launched by Elizabeth Taylor?
",Midnight Poison,White Diamonds,Midnight Poison,Passion,Black Pearls
1630,"Elizabeth Taylor played the passionate, sexually-frustrated Maggie in the movie Cat On A Hot Tin Roof. Who wrote the Pulitzer Prize-wining play on which the movie is based?
",Tennessee Williams,Eugene ONeill,Sam Shepard,Tennessee Williams,Arthur Miller
1631,"Elizabeth Taylor was awarded a record-setting contract of $1 million for playing the leading female role in this movie which nearly bankrupted 20th Century Fox?
",Cleopatra,A Place in the Sun,The Last Time I Saw Paris,Cleopatra,Doctor Faustus
1632,"Elizabeth Taylor gained 30 pounds (13.5kg) for the role of the frumpy, hard-drinking Martha and her performance earned her an Academy Award for Best Actress. Name the movie in which Marthas husband was portrayed by Taylors then-husband Richard Burton.
",Whos Afraid of Virginia Woolf?,Whos Afraid of Virginia Woolf?,The Taming of the Shrew,Cat on a Hot Tin Roof,Butterfield 8
1633,"There are no other worlds to conquer were the last words of this great leader as he finished his conquests from Macedonia through what is now  Pakistan.
",Alexander the Great,Hannibal,Napoleon Bonaparte,Charles DeGaulle,Alexander the Great
1634,"Kill me now or you are a murderer. were the last words of this great writer from Prague.
",Franz Kafka,Franz Lehar,Heinrich Heine,Hermann Hesse,Franz Kafka
1635,"Relax, this wont hurt. were the last words of this inventor of Gonzo journalism.
",Hunter Thompson,Hunter Thompson,Ben Bradley,James Fenimore Cooper,William Randolph Hearst
1636,"When a priest asked him to denounce the Devil, the last words of this leader of the French Enlightenment were: This is no time to make new enemies.
",Voltaire,Voltaire,Charles DeGaulle,Moliere,Francois Villon
1637,"He was an American writer who was born in Fresno, California. He wrote the song Come on to My House with his cousin Ross Bagdarian of Chipmunk fame. He also wrote Golden Boy and The Time of  Your Life. His last words were Everybodys got to die, but I have always believed an exception would be made in my case. Now what?
",William Saroyan,William Saroyan,Clifford Odets,James Garfield,Russ Trian
1638,"Lets cool it brothers were his last words, not those of Denzel Washington.
",Malcolm X,H.Rap Brown,Malcolm X,James Brown,Joe Tex
1639,"This philosophers last words were not his Manifesto but Go on get out. Last words are for fools who havent said enough. Who was this writing partner of Engels?
",Karl Marx,Karl Marx,Walter de la Mare,Vladimir Kosinski,Ivan Pushkin
1640,"He was one of Americas greatest dramatists. His daughter, Oona, married Charlie Chaplin. His last words were: I knew it! I knew it! Born in a hotel room and damn it, died in a hotel room.
",Eugene ONeil,Tennessee Williams,Clifford Odets,William Saroyan,Eugene ONeil
1641,"Get my swan costume ready were the last words, not of Natalie Portman but of this great dancer.
",Anna Pavlova,Marcella Thompkins,Karin Alneski,Lillian Gish,Anna Pavlova
1642,"He was the first US President to serve more that 8 years. His last words were: I have a terrific headache.
",Franklin Delano Roosevelt,Franklin Delano Roosevelt,William T. Sherman,John Hammonds,Millard Filmore
1643,"This fine writer was punished for his sexual preference. His last words were Either the wallpaper goes or I do.
",Oscar Wilde,William Jennings Bryan,Oscar Wilde,F. Scott Fitzgerald,Henry Wadsworth Longfellow
1644,"This fine actress, better known for her romantic conquests, starred in the movie Lifeboat. Her last words were: Codeine ... bourbon.
",Tallulah Bankhead,Judy Garland,Tallulah Bankhead,Lillian Gish,Margret Dumont
1645,"This famous singer was often On the Road. His last words were That was a great game of golf fellas.
",Bing Crosby,Bobby Jones,Rudy Valle,Sam Snead,Bing Crosby
1646,"He was a great economist and a fine mathematician. His ideas revolutionized the field of economy. His last words were: I wish Id drunk more champagne.
",John Maynard Keynes,Calvin Coolidge,Bernard Madoff,W. Gamaliel Harding,John Maynard Keynes
1647,"James W. Rodgers was sentenced to death by firing squad for killing a miner. When asked if he had any last wishes, these were his last words.
",Why yes:. A bulletproof vest.,Why yes:. A bulletproof vest.,To meet  you guys tomorrow.,"Certainly, let me list all 5000 things for you.",A blindfold and a cigar.
1648,"In the movie Back to the Future part 2, in the Alternate 1985, what was different about Jennifers house?
",There were bars across the windows.,There were bars across the windows.,There was another family living in it.,It was painted a different colour.,The porch was on the wrong side
1649,"Elijah Wood had a small role in the movie Back to the Future 2.
",True,True,False,,
1650,"What movie was Biff watching while in the jacuzzi in the alternate 1985 in the movie Back to the Future 2?
",A Fistful of Dollars,The Good The Bad  The Ugly,Paint Your Wagon,Dirty Harry,A Fistful of Dollars
1651,"In Back to the Future 2, what month is it when Doc arrives from the future and tells Marty and Jennifer that he needs their help?
",October 1985,October 1985,January 1985,July 1985,May 1985
1652,"What is the name of Marty and Jennifers daughter in the movie Back to the Future 2?
",Marlene,Marlene,Marilyn,Marta,Mariah
1653,"In Back to the Future 2, Doc electronically hypnotized Jennifer.
",True,True,False,,
1654,"In the 1989 movie Back to the Future Part II, Slamball was mentioned in a scene taking place in 2015. In what year was the sport Slamball actually created?
",2001,2001,1985,2009,1989
1655,"At 11:10 on Tuesday April 20, 1999, two students entered Columbine High School and in about 48 minutes massacred twelve students and a teacher.  Who are the two students responsible for one of the deadliest school shooting in the history of the United States?
",Harris and Klebold,Mines and Woodham,Woodham and Harris,Harris and Klebold,Klebold and Kinkel
1656,"Michael Moore won an Academy Award for Best Documentary Feature for his film about the Columbine High School massacre. What activity that both shooters took part in did Michael Moore incorporate in the title of his film?
",Bowling,Paint Ball,Video game  Doom,Bowling,Target Shooting
1657,"Marc Lepina, a student of the Ecole Polytechnique in Quebec, Canada shot and murdered fourteen people on December 6, 1989. What group of people did Marc Lepina stalk and kill that day?
",Women,Engineering students,Teachers,Women,Blacks
1658,"Charles Carl Roberts entered a schoolhouse in Nickel Mines and shot ten students and teachers, killing five. To what peaceful religious group did the victims belong?
",Amish,Quakers,Mormons,Anabaptist Brethren,Amish
1659,"The Virginia Tech Massacre is the deadliest school massacre is the history of the United States.
",False,True,False,,
1660,"In May 2002 the Secret Service published a report about similarities in school shootings. What was NOT one of the findings of the report?
",That attackers violence was sudden and  impulsive.,That most attackers had access to weapons.,That attackers violence was sudden and  impulsive.,"Before the attack, others were aware of the planned attack.",Most attackers felt bullied or persecuted.
1661,"The term Trenchcoat Mafia is associated with which school shooting?
",Columbine High School,Heath High School,Virginia Tech,Kent State,Columbine High School
1662,"The opening day of school in the town of Baslan, a part of the Russian Federation, turned into a day of horror for the small village. Terrorists held the children and parents hostages for three days until a bloody gun battle between the terrorists and the Russian security forces ended in a bloodbath that shocked the world. Who were the terrorists that caused the death of at least 386 people, 186 of the dead being children?
",Chechen Separatist,Kurds,Chechen Separatist,Al-Queda,Chechen Loyalist
1663,"What was the name of the student and former marine who shot and killed fourteen people from the tower of the main building of the University of Texas?
",Charles Whitman,John Wayne Gacy,Richard Stark,Charles Whitman,Jeffery Weise
1664,"On April 3, 1962 sixteen-year-old Brenda Ann Spencer fired on the Cleveland Elementary School in San Diego killing the principal and school custodian and wounding eight children. What was the reason Brenda Ann Spencer gave the police when she was asked to explain her motives?
",I dont like Mondays.,I dont like Mondays.,Somebody had to shut those monkeys up!,Those brats have called me names for the last time.,I had to get some sleep. The kids just kept screaming and yelling.
1665,"This city, located north of the Dead Sea, is the lowest permanently inhabited site in the world.
",Jericho,Bethlehem,Jericho,Rafah,Jerusalem
1666,"This is the Greek name of a city located about 40km from Beirut, Lebanon.
",Byblos,Byblos,Baalbek,Baabda,Batroun
1667,"In the centre of this city in Syria there is an ancient castle known as Citadel.
",Aleppo,None of these,Aleppo,Athens,Ankara
1668,"The ancient city of Susa was conquered by Alexander the Great.
",True,False,True,,
1669,"What European city was named Philippopolis or the city of Philip?
",Plovdiv,Athens,Plovdiv,Istanbul,Bucharest
1670,"Which Turkish city is a probable site of the Hellenistic city of Antiochia ad Taurum?
",Gaziantep,Istanbul,Izmir,Gaziantep,Edirne
1671,"Beirut was conquered by Agrippa, a Roman statesman and general.
",True,True,False,,
1672,"Jerusalem is a holy city of which of these major religions?
",All of these,Islam,Judaism,All of these,Christianity
1673,"The ancient city of Tyre, located in present-day Lebanon, is the birthplace of the mythological figure, named Europa.
",True,False,True,,
1674,"Erbil Citadel is an ancient fortress in Iraq.
",True,True,False,,
1675,"Who built the Statue of Liberty, which was a gift from France to the US?
",Auguste Bartholdi,Auguste Bartholdi,Alvere Bartholdi,Abelard Charton,Christophe Baya
1676,"What year was the Eiffel Tower constructed?
",1889,1863,1892,1870,1889
1677,"Big Bens 150th anniversary was in May 2009.
",True,True,False,,
1678,"Why was the Taj Mahal built by Mughal emperor Shah Jahan?
","It was built in memory of his wife, Mumtaz Mahal","It was built in memory of his wife, Mumtaz Mahal",It was built as a palace for the emperor.,It was built as a temple for the alter of eternal sanctity.,It was built as an amusement park attraction.
1679,"What is the length of the entire Great Wall, with all of its branches?
","5,500 miles","10,000 miles","5,500 miles",2000 miles,50 miles
