,Questions,Correct,A,B,C,D
981,"This Austrian neurologist was the founder of the psychoanalytic school. He made popular the idea of conscious versus unconscious and considered dream interpretation very important.
",Sigmund Freud,Carl Jung,James Fowler,Sigmund Freud,Alfred Adler
982,"This Argentinean was a radio and TV actress before she married Juan Peró® ©n 1945, who later became President of Argentina.  She had a foundation that supported the demands of the poor, orphaned children and womens rights.
",Evita Peron,Margaret Thatcher,Evita Peron,Indira Gandhi,Raisa Gorbacheva
983,"He was the most famous artist in the world by the late 1930s.  This artist started expressing space in a strongly geometrical way; which led to the appearance of Cubism.  He attended the School of Fine Arts in Barcelona but he was first learned to paint from his father.
",Pablo Picasso,Pablo Picasso,Vincent Van Gogh,Michelangelo,Salvador Dali
984,"With glorious red hair and a striking figure, this Love Goddess was the World War ll pinup.
",Rita Hayworth,Lucille Ball,Katharine Hepburn,Rita Hayworth,Greta Garbo
985,"Even though she was of the most popular and highly paid Hollywood actors of the 1930s, her image was risque and sultry.  In 1959 she wrote her autobiography, Goodness Had Nothing to Do with It.
",Mae West,Mae West,Lillian Gish,Rosalind Russell,Bette Davis
986,"One of the greatest entertainers of the 20th century, this one-time child star recorded nearly 100 singles and about a dozen albums.  Her 1955 album was titled Miss Show Business.
",Judy Garland,Judy Garland,Virginia Weidler,Margaret OBrien,Shirley Temple
987,"What stunning screen siren was married to three  famous men - Mickey Rooney, Artie Shaw, and Frank Sinatra?
",Ava Gardner,Bette Davis,Ava Gardner,Elizabeth Taylor,Joan Crawford
988,"This unparalleled actress was nominated eleven times for an Academy Award, but only won two of them. One of them was for her role in Dangerous.
",Bette Davis,Katharine Hepburn,Bette Davis,Ingrid Berman,Lauren Bacall
989,"This lady started out as a serious actress but was famously known to play wisecracking career women, such as her character Hildy Johnson.
",Rosalind Russell,Lucille Ball,Elizabeth Taylor,Rosalind Russell,Eve Arden
990,"Popular legend has it that she was discovered sitting on a fountain stool at Schwabs drugstore in Hollywood. She is well known for playing a lead role on a very risque, controversial book turned into film.  She was called Judy as a child.
",Lana Turner,Marilyn Monroe,Ginger Rogers,Barbara Stanwyck,Lana Turner
991,"This actress starred in almost a hundred films during her career and received four nominations for the Academy Award for Best Actress.  She received an Academy Honorary Award for superlative creativity and unique contribution to the art of screen acting in 1982.
",Barbara Stanwyck,Barbara Stanwyck,Gene Tierney,Loretta Young,Jane Wyman
992,"This gorgeous movie actress - radiant and dark haired, received her only Oscar nomination for playing a neurotic bride in the film noir Leave Her to Heaven. (1945)
",Gene Tierney,Elizabeth Taylor,Loretta Young,Lauren Bacall,Gene Tierney
993,"Born Lucille Fay LeSueur, studio chief Louis B. Mayer was unhappy with her name.  A contest in the fan magazine Movie Weekly was the source of her well-known stage name.  She won her only Oscar after being dropped by MGM and revived by Warner Bros.
",Joan Crawford,Paulette Goddard,Bette Davis,Joan Fontaine,Joan Crawford
994,"Elephants can live to 70 plus years.
",True,False,True,,
995,"The African Elephant is an endangered species.
",False,True,False,,
996,"Tiny elephants once lived on the island of Crete.
",True,False,True,,
997,"Elephants are the only member of the group of animals known as Pachyderms.
",False,False,True,,
998,"Asian Elephants are larger than African Elephants.
",False,True,False,,
999,"There are only two remaining species of elephants in the world.
",False,False,True,,
1000,"Nowadays there are nearly 1.3 million wild African Elephants.
",False,True,False,,
1001,"An elephants trunk has over 40,000 individual muscles in it.
",True,False,True,,
1002,"Elephants tusks can grow an entire foot (30 cm) each year.
",False,True,False,,
1003,"Elephants are related to manatees.
",True,True,False,,
1004,"Mae is the first name of what American film legend and sex symbol?
",Mae West,Mae Watson,Mae West,Mae Fields,Mae Marx
1005,"Who was the youngest of the Cratchit children from the Charles Dickenss novelette A Christmas Carol?
",Tim,Bob,Sue,Tom,Tim
1006,"Which Lex was the arch enemy of the comics character Superman?
",Luther,Evilheart,Luther,Lucifer,Snidely
1007,"What was Mrs. Corleones first name in the Mario Puzo novel The Godfather?
",Kay,Pam,Nan,Fay,Kay
1008,"Who was the famous Sam of the detective story The Maltese Falcon?
",Spade,Spade,Hammer,Queen,Stout
1009,"What is the first name of the actor who played the famous barman Sam on the TV series Cheers?
",Ted,Wes,Tom,Ted,Bob
1010,"What is the first name of the film maker Burton, known as the creator of many horror films?
",Tim,Wes,Joe,Bob,Tim
1011,"Who was the head man of the popular 1997 sci-fi film Men in Black?
",Zed,Bet,Alf,Zed,Psi
1012,"What is the last name of the beautiful actress Ava who is in the American Film Institutes greatest stars of all time list?
",Gardner,Peterson,Loren,Gardner,Sommers
1013,"What was the last name of the title character Bob in the film What About Bob?
",Wiley,Murray,Wiley,Peters,Marvin
1014,"Where do the hobbits get their swords (Frodos first sword) in the book The Lord of the Rings: The Fellowship of the Ring?
",From a barrow,From Elrond,From a barrow,From Bilbo,From Aragorn
1015,"In the book The Lord of the Rings: The Fellowship of the Ring , who saves Frodo after he was stabbed by the wraith?
",Glorfindel,Arwen,Gandalf,Glorfindel,Elrond
1016,"Does Frodo leave directly from Bag End when he takes the ring to Elrond?
",No,No,Yes,,
1017,"About how old is Frodo when he leaves the Shire in the book The Lord of the Rings: The Fellowship of the Ring?
",50,50,60,20,40
1018,"In the book The Lord of the Rings: The Fellowship of the Ring, what two races do not like each other?
",Elves and dwarfs,Men and dwarfs,Men and hobbits,Elves and men,Elves and dwarfs
1019,"In the book The Lord of the Rings: The Fellowship of the Ring, who sings a song to the willow tree that has trapped Merry and Pippin?
",Tom Bombadil,Treebeard,Glorfindel,Tom Bombadil,Arwen
1020,"Is there a character in the book The Lord of the Rings: The Fellowship of the Ring, that is still able to see the person wearing the ring?
",Yes,No,Yes,,
1021,"In the book The Lord of the Rings: The Fellowship of the Ring, what character helps the four hobbits get on their way while they are still in the Shire?
",Farmer Maggot,Farmer Maggot,Gandalf,Tom Bombadil,Arwen
1022,"Who sang Something in the Air, which appeared on the soundtrack of the film The Strawberry Statement (1970)?
",Thunderclap Newman,Thunderclap Newman,Ian Hunter,Barry Manilow,Captain and Tennille
1023,"This singer and songwriter is best known for his hits, I Write The Songs, Mandy and Copacabana (At The Copa).
",Barry Manilow,Tony Orlando,Leif Garrett,Billy Joel,Barry Manilow
1024,"Terry Jacks and his wife Susan Pesklevits formed this pop musical group, popular in 1960s and early 70s.
",The Poppy Family,The Poppy Family,The Cowsills,The Association,Spanky and Our Gang
1025,"What is rock singer and musician, Alice Coopers real name?
",Vincent Furnier,Nathan Birnbaum,Allen Konisberg,Robert Alan Zimmerman,Vincent Furnier
1026,"Who sang Lido Shuffle, a song featured in the 1976 album, Silk Degrees?
",Boz Scaggs,Phil Lynott,Tim Buckley,David - Clayton- Thomas,Boz Scaggs
1027,"Her Knock Knock Whos There was released as a single (APPLE 26) on March 23, 1970.
",Mary Hopkin,Maria Muldaur,Phoebe Snow,Mary Hopkin,Janis Ian
1028,"This 1970s funk group had three singles, among which, Boogie Nights
",Heatwave,DeBarge,Heatwave,The Miracles,The Sylvers
1029,"This British band is best known for the 1975 world-famous hit, Sky High.
",Jigsaw,Pilot,Jigsaw,Manassas,Mott the Hoople
1030,"Who sang 1970s top ten hit,  Baby, Im a Want You?
",Bread,Blondie,Humble Pie,The Faces,Bread
1031,"What  pop band, formed in 1973 in San Francisco, California, sang  Whatcha Gonna Do?
",Pablo Cruise,Squeeze,Pablo Cruise,The Time,Raydio
1032,"In the comedy movie Coming to America, Akeem was the prince of what country?
",Zamunda,Zanadu,Zambia,Zamunda,Zenovia
1033,"In the movie Coming to America, Akeem and Semmi visit the United States of America to search for Akeems future bride. In which borough of New York City do they decide to begin their bridal search?
",Queens,Staten Island,Manhattan,The Bronx,Queens
1034,"In the comedy movie Coming to America, the cab driver that picks up Akeem and Semmi from the airport when they arrive in New York City was played by Jake Steinfeld, who had his own fitness show called Body by Jake back in the 1980s.
",True,True,False,,
1035,"In the film Coming to America, what was the name of Clarences barber shop where Clarence and his friends would discuss great boxing legends?
",My-T Sharp,Kwik Cuts,My-T Sharp,A Cut Above,Hair Force
1036,"In the movie Coming to America, Akeem first sees his future bride at a Black Awareness Rally.  At this rally, Randy Watson (played by Eddie Murphy) and his band provided a special rendition of Whitney Houstons Greatest Love of All. What was the name of Randy Watsons band?
",Sexual Chocolate,Sexual Chocolate,Afrikan Bambaata,Brown Sugar,Soul Food
1037,"Lisa, one of the characters from the movie Coming to America, dated a young man by the name of Darryl Jenks (played by Eriq La Salle). Daryl was spoiled, rich and destined to inherit a fortune from his fathers business. What was the name of his fathers company?
",Soul Glo,Fro Grow,Soul Glo,Hair Care,Jheri Curl
1038,"In the movie Coming to America, Lisas father Cleo (played by John Amos) owned a restaurant which was very similar to this hugely popular restaurant franchise.
",McDonalds,Wendys,White Castle,Burger King,McDonalds
1039,"In Coming to America, Akeem and Semmi stop a hold-up man trying to rob Cleos restaurant.  What famous actor plays the robber?
",Samuel L. Jackson,Isaac Hayes,Chris Rock,Jim Brown,Samuel L. Jackson
1040,"In the movie Coming to America, one of the first things Akeem did when he arrived in America was to get a haircut. When Akeem walked into the barber shop, Clarence the barber told him that he would be with him in a moment because he was already cutting someone elses hair. What famous Academy Award- winning actor portrayed the young man who was getting his hair cut when Akeem and Semmi came into the barber shop?
","Cuba Gooding, Jr.","Cuba Gooding, Jr.",Terrence Howard,Jaime Foxx,Will Smith
1041,"Which collective noun refers to a group of gorillas?
",Band,Band,Gang,Brood,Herd
1042,"Quails and swans live in groups, referred to as what?
",Bevy,Bevy,Team,Hive,Gaggle
1043,"What collective noun can be used as a synonym of troup, which means a group of kangaroos?
",Mob,Gaggle,Herd,Flock,Mob
1044,"A group of geese is called both a gaggle and a skein.
",True,True,False,,
1045,"Which collective noun refers to a group of cats?
",Clutter,Colony,Troop,Flock,Clutter
1046,"Which collective noun means a group of bees?
",All of these,Swarm,All of these,Hive,Grist
1047,"Elk live in a group called what?
",Gang,Congregation,Gang,Band,Brood
1048,"Crows live in a group called a murder.
",True,False,True,,
1049,"Which word means a group of whales or seals?
",Pod,Team,Pack,School,Pod
1050,"Which noun means a group of swine?
",None of these,Leash,None of these,Brace,Brood
1051,"According to the classic tv show M*A*S*H, what state was the character Hawkeyeâ€ originally from?
",Maine,Maine,Michigan,Pennsylvania,Ohio
1052,"Dr. Hawkeye Pierce was given his nickname by his father. Where did his father get the name?
",A Book,A Movie,An Indian,A Boat,A Book
1053,"Where did Dr. Hawkeye Pierce attend medical school according to M*A*S*H?
",Boston,Philadelphia,New York,Boston,Chicago
1054,"Dr. Hawkeye Pierce from M*A*S*H* is married in the TV series.
",False,True,False,,
1055,"In the popular TV series M*A*S*H, what color is Dr. Hawkeye Pierces favorite bathrobe?
",Red,Gray,Blue,Brown,Red
1056,"What is Hawkeyes beverage of choice in M*A*S*H?
",Homemade Gin Martinis,Imported Vodka,Homemade Gin Martinis,40 year old Scotch,Korean Beer
1057,"This country has the highest number of breweries in the world, and beer plays a significant part of its culture. Among the numerous famous brands it produces are Krombacher, Warsteiner and Bitburger.
",Germany,Belgium,Sweden,Austria,Germany
1058,"This dark stout beer was first brewed in 1759 at St. Jamess Gate Brewery, Dublin, Ireland.  One of its varieties is Foreign Extra Stout Nigeria, which is brewed using sorghum instead of barley.
",Guinness,Grolsch,Guinness,Bud Light,Beckâ€™s
1059,"It is stated in ancient texts that the earliest beers are Sumerian. Name the ancient Sumerian goddess of beer, daughter of  Enki.
",Ninkasi,Ninkasi,Hedetet,Fauna,Feronia
1060,"Efes Beverage Group, founded in 1969 and named after an ancient city, is the major beer producer in this country.
",Turkey,Denmark,Poland,Turkey,Greece
1061,"This beer brand, which is a German language adjective for something from the city of ÄŒeskÃ© BudÄ›joviceis, is often advertised as the King of Beersâ€™.
",Budweiser,Budweiser,Heineken,Corona,Pilsner Urquell
1062,"Beer is proof that God loves us and wants us to be happy. The words were delivered by this philosopher, inventor, politician and economist.
",Benjamin Franklin,Thomas Jefferson,Benjamin Franklin,Abraham Lincoln,Washington Irving
1063,"One of the most famous events in Munich, Germany is this two-week annual festival. It begins with a keg of beer tapped by the Mayor of Munich.
",Oktoberfest,Shwung Festival,Oktoberfest,Bayreuth Festival,Bregenzer Festspiele
1064,"This country is famous for its lager beers, especially Amstel, Heineken and Grolsch.
",Netherlands,Belgium,Denmark,Germany,Netherlands
1065,"Name the movie in which Vincent said the following words: Well, in Amsterdam, you can buy beer in a movie theatre. And I dont mean in a paper cup either. They give you a glass of beer, like in a bar. In Paris, you can buy beer at MacDonalds.
",â€˜Pulp Fictionâ€™,â€˜Ladder 49â€™,â€˜Pulp Fictionâ€™,â€˜Face Offâ€™,â€˜A Love Song For Bobby Longâ€™
1066,"Name the phase in beer brewing in which the malted grains are crushed and soaked in warm water, as a result of which, enzymes turn starches into fermentable sugars.
",Mashing,Sparging,Fermentation,Boiling,Mashing
1067,"One of the causes of World War II was this treaty, which officially ended World War I and forced Germany to accept full responsibility for the war, pay reparations and forfeit all its overseas and African colonies.
",Treaty of Versailles,Treaty of Paris,Treaty of Venice,Treaty of Versailles,Treaty of Brussels
1068,"Which country did Germany invade on September 1, 1939?
",Poland,France,Poland,Austria,Hungary
1069,"The treaty of non-aggression signed between Germany and the Soviet Union a few months before the start of WW II was violated when Germany invaded the USSR. The operation of the German invasion was named what?
",Barbarossa,Attila,Lebensraum,Cartagena,Barbarossa
1070,"What was the name of the ballistic missile weapon first used in the Second World War?
",V-2,V-2,M2,Heinkel 188,JS-8
1071,"During WW II, the German name Auschwitz was given to what?
",A concentration camp,A submarine,An airplane,A concentration camp,An operation code name
1072,"An estimated 62 million people lost their lives during World War II.  Which country gave the most casualties?
",Soviet Union,United Kingdom,Soviet Union,Germany,Poland
1073,"How did Adolf Hitler, the leader of  Nazi Germany from 1934 to 1945, die?
",He committed suicide,He died of natural causes In Soviet captivity,He was assassinated,He died of heart attack when the Soviets reached the Reichstag,He committed suicide
1074,"Which of these countries managed to stay neutral throughout the Second World War?
",Switzerland,Bulgaria,Switzerland,Finland,Canada
1075,"During the Battle of Stalingrad, Hitler made a desperate attempt to deter his forces from surrendering. What did he do?
",Promoted the general in charge,Promised money to all soldiers,Promoted the general in charge,Issued an order anyone who surrendered to be shot,Threatened the general in charge with execution of his family
1076,"United States declared war on Japan following the attack on Pearl Harbor. What was President Franklin Rooseveltâ€™s pretext to enter the European theater?
",The German declaration of war on the United States,Germanys threats on the United Kingdom,United Kingdoms plea for help,The German declaration of war on the United States,The German invasion of the Soviet Union
1077,"The astrological signs Cancer, Pisces and Scorpio are associated with the element Air.
",False,False,True,,
1078,"Taurus, Virgo and Capricorn are astrological signs that fall under what element?
",Earth,Earth,Fire,Water,Air
1079,"What is a persons astrological sign if he/she was born between August 23 and September 22?
",Virgo,Capricorn,Aries,Virgo,Libra
1080,"The archer is the symbol of which of these signs?
",Sagittarius,Scorpio,Cancer,Sagittarius,Capricorn
1081,"The symbol of the astrological sign Libra is the bull.
",False,True,False,,
1082,"People born under the astrological sign Gemini have a birthday between May 21 and June 21.
",True,False,True,,
1083,"A person born on December 23 is on the cusp of which 2 signs?
",Sagittarius-Capricorn,Gemini-Cancer,Virgo-Libra,Aquarius-Pisces,Sagittarius-Capricorn
1084,"Aerosmiths Dude Looks Like a Lady was written about Vince Neil of Motley Crue.
",True,False,True,,
1085,"From the year 1945, when the United Nations was founded to 2006 there were over 200 wars.
",False,True,False,,
1086,"In 2001, St. Patricks Day celebration went on as planned in Ireland.
",False,False,True,,
1087,"Which of the following is among the variety of jobs actor Sylvester Stallone had, before becoming an actor?
",a lion cage cleaner,busboy,none of these,a lion cage cleaner,mail courier
1088,"How long did a man named Charles Osborne hiccup continuously?
",69 years,15 years,none of these,69 years,80 years
1089,"Pound for pound, leopards are considered to be seven times stronger than humans.
",True,False,True,,
1090,"A piece of French toast that was partially eaten by Justin Timberlake sold on eBay for over 3000 US dollars.
",True,False,True,,
1091,"Does any creature have the ability to change its sex?
",Yes,No,Yes,,
1092,"The Uape Indians, who live in the Amazon, mix the ashes of their cremated relatives with alcohol, then all members of the family drink the mix.
",True,False,True,,
1093,"Sex acts like a natural antihistamine and can clear up a stuffy nose.
",True,True,False,,
1094,"How many seasons did baseball player Hank Aaron spend with the Milwaukee Brewers?
",2,5,1,2,0
1095,"Who is Fred Flintstones boss at the Slate Rock and Gravel Company?
",Mr. Slate,Mr. Rocker,Mr. Pebble,Mr. Stone,Mr. Slate
1096,"This character, who was first featured in a 1976 Academy Award-winning movie, was portrayed by Sylvester Stallone.
",Rocky Balboa,Rocky Balboa,Johnny Bravo,Barney Rubble,Peter Honey
1097,"This successful Hollywood actress allegedly had an affair with the 35th US President. In 1962, she made her last significant public appearance, singing Happy Birthday, Mr. President at a televised birthday party.
",Marilyn Monroe,Betty Grable,Ava Gardner,Kathryn Hepburn,Marilyn Monroe
1098,"Jumping spiders, which represent the largest family of spiders, are superior to most other spiders in which of the following ways?
",They have better vision,They lay more eggs.,They have better vision,They are more agile.,They produce stickier webs.
1099,"This US state is famous for Lake Okeechobee, the fourth largest lake completely within the United States.
",Florida,California,Alabama,Florida,Kentucky
1100,"Which of these is one of the nicknames of baseball player George Herman Ruth, also known as Babe Ruth?
",The Sultan of Swat,The Iron Horse,The Boston Menace,The Sultan of Swat,The Yankee menace
1101,"Gomer Pyle, the auto mechanic in the American TV sitcom The Andy Griffith Show, joined which branch of the military?
",Marines,Air Force,Marines,Navy,Army
1102,"Born February 22, 1975, this actress shot to fame after starring in E.T. the Extra-Terrestrial.
",Drew Barrymore,Ava Jones,Eve Plumb,Betty Pike,Drew Barrymore
1103,"Once more unto the breach dear friends, once more!  This line is from the final play of a historical tetralogy by Shakespeare. Name the play.
",King Henry V,Hamlet,King Henry V,Macbeth,Julius Caesar
1104,"Take then thy bond, take thou thy pound of flesh. These words are uttered by a Shakespearean heroine in one of his most popular comedies, which has raised numerous questions related to anti-semitism.
",The Merchant of Venice,Henry V,The Taming of the Shrew,Richard III,The Merchant of Venice
1105,"Blow winds, and crack your cheeks! Rage! Blow!  The tragedy, this line was extracted from is based on a legend, that had been mentioned in numerous chronicles, poems, and sermons, before Shakespeare created his interpretation of it.
",King Lear,Twelfth Night,The Tempest,Macbeth,King Lear
1106,"Is it possible?--Confess,--handkerchief!--O devil!  These words belong to the protagonist of which 1603 Shakespearean tragedy?
",Othello,Othello,Antony and Cleopatra,A Midsummer Nights Dream,Much Ado About Nothing
1107,"O true apothecary! Thy drugs are quick.  These are among the last words of a famous Shakespearean character, right before his tragic death, in which play?
",Romeo and Juliet,Henry VIII,Julius Caesar,Romeo and Juliet,Hamlet
1108,"All that I have to say, is to tell you that the lantern is the moon; I, the man i the moon; this thorn-bush, my thorn-bush; this dog, my dog.  This extract is from a Shakespearean romantic comedy, often defined as a journey into fantasy and the surreal world.  Name it.
",A Midsummer Nights Dream,Loves Labours Lost,The Merry Wives of Windsor,Much Ado About Nothing,A Midsummer Nights Dream
1109,"I am the man!  If it be so,--as tis,--poor lady, she were better love a dream.  These words belong to Viola, who is disguised as a man, in what Shakespearean play?
",Twelfth Night,Twelfth Night,Much Ado About Nothing,Troilus and Cressida,A Comedy of Errors
1110,"It is a tale told by an idiot, full of sound and fury, signifying nothing.  This is the end of a famous speech by the protagonist of Shakespeares shortest tragedy, often compared to a morality play because of its references to moral issues such as power, ambition, and betrayal.
",Macbeth,A Comedy of Errors,Macbeth,Richard III,Alls Well That Ends Well
1111,"How many chromosomes do normal human diploid cells contain?
",46,5,46,10,23
1112,"Which  Beethoven Symphony has the directions allegro con vivio?
",9th,9th,5th,3rd,They all do
1113,"Who wrote the Unfinished Symphony?
",Schubert,Schubert,Schiller,Schwartz,Schumann
1114,"What type of people are eligible to get an Edgar Award?
",Mystery Writers,Cryptographers,Poets,Mystery Writers,Tarzan still book writers
1115,"What is the southern most state in the USA?
",Hawaii,Florida,California,Hawaii,Texas
1116,"Which famous person was both born and died in years, when Halleys Comet was visible?
",Samuel Clemens,Richard Nixon,Samuel Clemens,Frank Sinatra,Nero
1117,"Name the first woman to get a doctorate in mathematics.
",Sophia Kovalevskaya,Henrietta Von Heimer,Elizabeth Blackwell,Carmine Vitale,Sophia Kovalevskaya
1118,"In which direction does the Nile river flow?
",South to North,East to West,South to North,West to East,North to South
1119,"Which was the capital city of the Persian Empire?
",Ecbatana,Ecbatana,Schem,Baghdad,Tehran
1120,"Houston once served as the state capital of Texas.
",True,True,False,,
1121,"In 2007, what city was the most populous state capital in the United States?
",Phoenix,Denver,Phoenix,Austin,Boston
1122,"What is the capital of New York State?
",Albany,New York City,Buffalo,Albany,Rochester
1123,"Guthrie was once the state capital of Oklahoma.
",True,False,True,,
1124,"Cheyenne has served as the state capital of Wyoming since Wyoming established its statehood in 1890.
",True,True,False,,
1125,"Which city serves as the state capital of California?
",Sacramento,Sacramento,Oakland,San Francisco,Vallejo
1126,"Which state capital also served as a capital of the Confederate States of America?
",Richmond,Harrisburg,Albany,Atlanta,Richmond
1127,"Augusta is the capital of which state?
",Maine,Maine,Missouri,Minnesota,Montana
1128,"Who played Vivian in the romantic comedy movie Pretty Woman?
",Julia Roberts,Elinor Donahue,Julian Clarey,Julie Andrews,Julia Roberts
1129,"What is Vivians surname in the film Pretty Woman?
",Ward,World,Work,Ward,Wood
1130,"In the movie Pretty Woman, what was the name of Vivians friend?
",Kit,Kit,Kim,Katie,Kat
1131,"Who played the financial tycoon Edward Lewis in the popular movie Pretty Woman?
",Richard Gere,Rolf Harris,Richard Harris,Harrison Ford,Richard Gere
1132,"In the movie Pretty Woman Vivian finds Kit drunk in which bar?
",The Blue Banana,The Blue Bus,The Blue Bottle,The Blue Banana,The Blue Bank
1133,"What do Vivian and Edward order from room service in the movie Pretty Woman?
",strawberries and champagne,strawberries and cream,strawberries and honey,strawberries and chocolate,strawberries and champagne
1134,"Who helps Vivian, the main character in Pretty Woman, pick out a dress for dinner?
",Bridget,Bethany,Brenda,Britney,Bridget
1135,"In Pretty Woman Edward pays Vivian $4,000 to stay for the whole week.
",False,True,False,,
1136,"In the movie Pretty Woman Edward and Vivian go to see which opera?
",La Traviata,Aida,The Marriage of Figaro,La Traviata,Tosca
1137,"What sport do Vivian and Edward watch in Pretty Woman?
",Polo,Polo,Football,Cricket,Rugby
1138,"My predecessor, Blue Ribbon Sports, was incorporated in 1964. My name came from the Greek goddess for victory. Would that mean I am Nike, Inc.?
",Yes,Yes,No,,
1139,"I am on the ABC channel. William Shatner plays Denny Crane and Candice Bergen plays Shirley Schmidt in me. Am I the Knights of Prosperity TV series?
",No,Yes,No,,
1140,"I own the Microsoft Corporation. You may know me as one of the richest men in the world. Am I Warren Buffett?
",No,Yes,No,,
1141,"Ata Maivia from Samoa is the mother of this celebrity, who was born on May 2, 1972.
",The Rock,Dennis Rodman,Vince McMahon,The Rock,Grant Hill
1142,"Lucille Jeter was sixteen when she met Al, the father of this famous musician, who in his early career, used the stage name Maurice James.
",Jimi Hendrix,Smokey Robinson,Jimi Hendrix,Alan Parker,Mario van Peebles
1143,"This actress, who won an Academy Award in 1998, is the daughter of Tony Award winner Blythe Danner.
",Gwyneth Paltrow,Gwyneth Paltrow,Uma Thurman,Julia Roberts,Hilary Duff
1144,"This eccentric British musician, often called the chameleon of pop, is the son of Haywood Stenton Jones and Margaret Burns.
",David Bowie,David Bowie,Marc Bolan,Davy Jones,Sid Vicious
1145,"This actor, who won a Tony Award for leading role in Jerome Robbins Broadway, is the son of Ruth and Alex Greenspan.
",Jason Alexander,Jason Alexander,Jeff Goldblum,Billy Crystal,Richard Harris
1146,"This famous actress, who won an Oscar for Best Supporting Actress in the movie Ghost, is the daughter of Robert James Johnson.
",Whoopi Goldberg,Nicollette  Sheridan,Catherine Bell,Christina Applegate,Whoopi Goldberg
1147,"Peter Gow is the father of this Australian celebrity, whose nickname is the Body.
",Elle Macpherson,Nicole Kidman,Patricia Arquette,Chrissie Hynde,Elle Macpherson
1148,"Born in Minnesota in October, 1971, she is the famous daughter of Cindy Palmer Horowitz and Michael Horowitz.
",Winona Ryder,Vanessa Redgrave,Winona Ryder,Cher Horowitz,Susan Sarandon
1149,"Actress Tippi Hedren, who appeared in Alfred Hitchcocks movies The Birds and Marnie, is the mother of which famous movie star?
",Melanie Grifith,Julia Roberts,Denise Richards,Tatum ONeal,Melanie Grifith
1150,"Jane Etta Hillhouse gave birth to this movie star in 1963 in Shawnee, Oklahoma.
",Brad Pitt,Brad Pitt,Gary Oldman,Sean Penn,Tom Selleck
1151,"In what year did mechanic Walter Hunt invent  the safety pin?
",1849,1772,1243,1994,1849
1152,"This person murdered John F. Kennedys presumed assassinator on November 24, 1963, in the first live broadcast of a homicide in television history.
",Jack Ruby,James Earl Ray,Marilyn Monroe,Lee Harvey Oswald,Jack Ruby
1153,"This lawyer and amateur poet wrote the lyrics of the US national anthem, The Star-Spangled Banner.
",Francis Scott Key,John Scott Key,Francis Scott Key,George Bellamy,Francis Bellamy
1154,"Golf, one of the few ball games that does not use a fixed standard playing area, originated in Scotland.
",True,True,False,,
1155,"This epic poem follows the voyage of the king of Ithaca, who returns from the Trojan War.
",The Odyssey,Through the Looking Glass,Joan of Arc,The Odyssey,The Iliad
1156,"In this 1976 Martin Scorsese film, a man in New York City plans to assassinate a politician, but instead rescues a teenage girl from a house of prostitution.
",Taxi Driver,The Candidate,House of Games,Manhattan,Taxi Driver
1157,"In this 2002 horror film, starring Naomi Watts, a girl is thrown down a well.
",The Ring,The Ring,Scream,The Shining,Fear
1158,"This 1995 fantasy movie starring John Travolta is about a world in which whites are the oppressed and blacks are in power.
",White Mans Burden,Primary Colors,Mad City,White Mans Burden,Battlefield Earth
1159,"In this 1988 film directed by John Carpenter, a man finds some glasses, puts them on, looks around, and sees that some of the people around him are actually hideous aliens.
",They Live,They Live,Vampires,Ghosts of Mars,Prince of Darkness
1160,"This 1999 film, directed by Anthony Minghella, stars Matt Damon as a homosexual psychopath.
",The Talented Mr. Ripley,Blade Runner,The Talented Mr. Ripley,The Bourne Identity,Confessions of a Dangerous Mind
1161,"In which city was Whoopi Goldberg born?
",New York City,"Chicago, Illinois","Los Angeles, California","Oakland, California",New York City
1162,"What statement is true about Whoopi Goldbergs first husband?
",He was Whoopis drug treatment counselor.,He was Whoopis drug treatment counselor.,His name is Frank Langella.,His name is Ted Danson.,He was Whoopis first drama coach.
1163,"What statement regarding Whoopi Goldberg is not true?
",She has one eyebrow.,She is dyslexic.,She has one eyebrow.,She hates flying so she tries to bus whenever she can.,She is a former heroin addict.
1164,"Whoopi Goldberg was inspired to become an actress by watching the performance of this actress.
",Nichelle Nichols,Lena Horne,Hattie McDaniels,Eartha Kitt,Nichelle Nichols
1165,"Name the famous director who discovered Whoopi Goldberg.
",Mike Nichols,Mike Nichols,Brian DePalma,Steven Spielberg,Oliver Stone
1166,"How did Whoopi Goldberg get the name Whoopi?
",Her friends called her Whoopi because of her flatulence.,It was given to her by her mother.,Her first agent  made up the name.,She made it up and used it because it was interesting.,Her friends called her Whoopi because of her flatulence.
1167,"Whoopi Goldbergs first big part was in the 1985 movie The Color Purple. What role did she play?
",Celie,Squeak,Millie,Sofia,Celie
1168,"In 2001, Oscar-winning actress Whoopi Goldberg starred in Rat Race, the first movie that featured two Oscar-winning African-Americans. Who was the other award -winning actor?
","Cuba Gooding, Jr.",Sidney Poitier,Angela Basset,"Cuba Gooding, Jr.",Harry Belafonte
1169,"Whoopi Goldberg was the second African-American actress to win an Oscar. Who was the first?
",Hattie McDaniels,Butterfly McQueen,Lena Horne,Hattie McDaniels,Eartha Kitt
1170,"Whoopi Goldberg was very influential in developing Comic Relief  around 1986. Who were the other two  comedians who helped develop Comic Relief?
",Robin Williams and Billy Crystal,Robin Williams and Billy Crystal,Paul Rodriguiz and Billy Connelly,Bill Cosby and Steve Martin,Jim Norton and Bill Rafferty
1171,"Whoopi Goldberg was the first woman to host the Oscars.
",True,True,False,,
